CUSIP,Security Type,Security Term,Auction Date,Issue Date,Maturity Date,Price,Investment Rate,High Yield,Interest Payment Frequency,Interest Rate
91282CKL4,Note,5-Year,04/18/2024,04/30/2024,04/15/2029,99.760176,,0.02242,Semi-Annual,0.02125
912797JX6,Bill,4-Week,04/18/2024,04/23/2024,05/21/2024,99.589333,0.05375,,None,
912797KF3,Bill,8-Week,04/18/2024,04/23/2024,06/18/2024,99.179444,0.05393,,None,
912810TZ1,Bond,19-Year 10-Month,04/17/2024,04/30/2024,02/15/2044,95.958772,,0.04818,Semi-Annual,0.045
912797KY2,Bill,17-Week,04/17/2024,04/23/2024,08/20/2024,98.267889,0.05406,,None,
912797HS9,Bill,42-Day,04/16/2024,04/18/2024,05/30/2024,99.383417,0.05392,,None,
912797KS5,Bill,52-Week,04/16/2024,04/18/2024,04/17/2025,95.030389,0.05177,,None,
912797JS7,Bill,13-Week,04/15/2024,04/18/2024,07/18/2024,98.672917,0.05395,,None,
912797KU0,Bill,26-Week,04/15/2024,04/18/2024,10/17/2024,97.393861,0.05366,,None,
912797JW8,Bill,4-Week,04/11/2024,04/16/2024,05/14/2024,99.590111,0.05365,,None,
912797KE6,Bill,8-Week,04/11/2024,04/16/2024,06/11/2024,99.180222,0.05387,,None,
912810TX6,Bond,29-Year 10-Month,04/11/2024,04/15/2024,02/15/2054,93.249005,,0.04671,Semi-Annual,0.0425
912797KX4,Bill,17-Week,04/10/2024,04/16/2024,08/13/2024,98.271194,0.05396,,None,
91282CJZ5,Note,9-Year 10-Month,04/10/2024,04/15/2024,02/15/2034,95.590932,,0.0456,Semi-Annual,0.04
91282CKJ9,Note,3-Year,04/09/2024,04/15/2024,04/15/2027,99.866800,,0.04548,Semi-Annual,0.045
912797HR1,Bill,42-Day,04/09/2024,04/11/2024,05/23/2024,99.384583,0.05381,,None,
912797GB7,Bill,13-Week,04/08/2024,04/11/2024,07/11/2024,98.679236,0.05368,,None,
912797KT3,Bill,26-Week,04/08/2024,04/11/2024,10/10/2024,97.411556,0.05329,,None,
912797JV0,Bill,4-Week,04/04/2024,04/09/2024,05/07/2024,99.590500,0.0536,,None,
912797JZ1,Bill,8-Week,04/04/2024,04/09/2024,06/04/2024,99.181778,0.05377,,None,
912797KW6,Bill,17-Week,04/03/2024,04/09/2024,08/06/2024,98.281111,0.05364,,None,
912797FH5,Bill,42-Day,04/02/2024,04/04/2024,05/16/2024,99.384000,0.05387,,None,
912796Y52,Bill,13-Week,04/01/2024,04/04/2024,07/05/2024,98.663444,0.05374,,None,
912797GW1,Bill,26-Week,04/01/2024,04/04/2024,10/03/2024,97.409028,0.05334,,None,
912797JQ1,Bill,4-Week,03/28/2024,04/02/2024,04/30/2024,99.588944,0.05381,,None,
912797JY4,Bill,8-Week,03/28/2024,04/02/2024,05/28/2024,99.179444,0.05393,,None,
912797KR7,Bill,17-Week,03/27/2024,04/02/2024,07/30/2024,98.279458,0.0537,,None,
91282CJU6,Note,1-Year 10-Month,03/27/2024,04/01/2024,01/31/2026,100.092542,,,Quarterly,
91282CKF7,Note,7-Year,03/27/2024,04/01/2024,03/31/2031,99.639057,,0.04185,Semi-Annual,0.04125
91282CKG5,Note,5-Year,03/26/2024,04/01/2024,03/31/2029,99.508988,,0.04235,Semi-Annual,0.04125
912797HQ3,Bill,42-Day,03/26/2024,03/28/2024,05/09/2024,99.384000,0.05387,,None,
91282CKH3,Note,2-Year,03/25/2024,04/01/2024,03/31/2026,99.820388,,0.04595,Semi-Annual,0.045
912796Y45,Bill,13-Week,03/25/2024,03/28/2024,06/27/2024,98.677972,0.05374,,None,
912797KM8,Bill,26-Week,03/25/2024,03/28/2024,09/26/2024,97.419139,0.05313,,None,
91282CJY8,Note,9-Year 10-Month,03/21/2024,03/28/2024,01/15/2034,98.639866,,0.01932,Semi-Annual,0.0175
912797JP3,Bill,4-Week,03/21/2024,03/26/2024,04/23/2024,99.590111,0.05365,,None,
912797JX6,Bill,8-Week,03/21/2024,03/26/2024,05/21/2024,99.180222,0.05387,,None,
912797KQ9,Bill,17-Week,03/20/2024,03/26/2024,07/23/2024,98.276153,0.0538,,None,
912810TZ1,Bond,19-Year 11-Month,03/19/2024,04/01/2024,02/15/2044,99.444553,,0.04542,Semi-Annual,0.045
912797HH3,Bill,42-Day,03/19/2024,03/21/2024,05/02/2024,99.384000,0.05387,,None,
912797KJ5,Bill,52-Week,03/19/2024,03/21/2024,03/20/2025,95.136556,0.05062,,None,
912796ZW2,Bill,13-Week,03/18/2024,03/21/2024,06/20/2024,98.674181,0.05389,,None,
912797KL0,Bill,26-Week,03/18/2024,03/21/2024,09/19/2024,97.406500,0.0534,,None,
912797JN8,Bill,4-Week,03/14/2024,03/19/2024,04/16/2024,99.589333,0.05375,,None,
912797JW8,Bill,8-Week,03/14/2024,03/19/2024,05/14/2024,99.179444,0.05393,,None,
912797KP1,Bill,17-Week,03/13/2024,03/19/2024,07/16/2024,98.277806,0.05375,,None,
912810TX6,Bond,29-Year 11-Month,03/13/2024,03/15/2024,02/15/2054,98.642640,,0.04331,Semi-Annual,0.0425
91282CJZ5,Note,9-Year 11-Month,03/12/2024,03/15/2024,02/15/2034,98.656761,,0.04166,Semi-Annual,0.04
912797HG5,Bill,42-Day,03/12/2024,03/14/2024,04/25/2024,99.383417,0.05392,,None,
91282CKE0,Note,3-Year,03/11/2024,03/15/2024,03/15/2027,99.983268,,0.04256,Semi-Annual,0.0425
912797FS1,Bill,13-Week,03/11/2024,03/14/2024,06/13/2024,98.672917,0.05395,,None,
912797KK2,Bill,26-Week,03/11/2024,03/14/2024,09/12/2024,97.421667,0.05308,,None,
912797JM0,Bill,4-Week,03/07/2024,03/12/2024,04/09/2024,99.589333,0.05375,,None,
912797JV0,Bill,8-Week,03/07/2024,03/12/2024,05/07/2024,99.178667,0.05398,,None,
